Summer 2026,,,,,
Botanical Name,Common Name,Pot Size,Current Height,Price,Approx. Qty
,,,,,
[Native Varieties],,,,,
,,,,,
(Smaller Grades),,,,,
Carex Buchananii,Buchanan's Sedge,1.4L,0.7m,$7.00,90
Cordyline Australis,Ti Kouka; Cabbage Tree,1.4L,0.5m,$7.00,900
Griselinia Littoralis,Kapuka; Native Broadleaf,1.4L,0.6m,$7.00,600
Hebe Stricta,Koromiko,1.4L,0.5m,$7.00,100
Libertia Grandiflora,Mikoikoi; NZ Iris,1L,0.15m,$7.00,330
Melicytus Ramiflorus,Mahoe; Whiteywood,1.7L,0.6m,$7.00,125
Phormium Cookianum,Mountain Flax,1.4L,0.3m,$7.00,90
Phormium Tenax,Harakeke; NZ Flax,1.4L,0.7m,$7.00,290
,,,,,
(Larger Grades),,,,,
Beilshmiedia Tawa,Tawa,8L,1.8m,$45.00,25
Fuchsia Excorticata,Kotukutuku; Tree Fuchsia,8L,1.8m,$25.00,45
Cordyline Australis,Ti Kouka; Cabbage Tree,10L,1.4m,$30.00,20
Griselinia Littoralis,Kapuka,8L,0.7m,$17.00,50
Pittosporum Eugenoides,Tarata; Lemonwood,10L,1m,$30.00,55
Pseudopanax Arboreus,Five Finger,5L,0.7m - 1.1m,$17.00,20
Pseudopanax Crassifolius,Horoeka; Lancewood,10L,1.3m - 1.8m,$35.00,20
,,,,,
(Available Autumn 2026),,,,,
(Smaller Grades),,,,,
Carex Virgata,Pukio,1.4L,,,
Clianthus Puniceus Albus,White Kakabeak,1.4L,,,
Coprosma Lucida,Shining Karamu,1.4L,,,
Coprosma Robusta,Karamu,1.4L,,,
Dodonaea Viscosa,Akeake,1.4L,,,
Dodonaea Viscosa Purpurea,Purple Akeake,1.4L,,,
Hedycarya Arborea,Pigeonwood; Porokaiwhiri,1.4L,,,
Kunzea Ericoides,Kanuka,1.4L,,,
Leptospermum Scoparium,Manuka; Ti Tree,1.4L,,,
Olearia Cheesemanii,Akiraho; Golden Akeake,1.4L,,,
Olearia Paniculata,Tree Daisy,1.4L,,,
Libertia Peregrinans,Mikoikoi; NZ Iris,1L,,,
Pittosporum Eugenoides,Tarata; Lemonwood,1.4L,,,
Pittosporum Tenuifolium,Kohuhu,1.4L,,,
Plagianthus Regius,Manata; Ribbon Wood,1.4L,,,
(Larger Grades),,,,,
Dacrydium Cupressinum,Rimu; Red Pine,10L & 13L,,,
Dacrycarpus Dacrydioides,Kahikatea; White Pine,10L,,,
Knightia Excelsa,Rewarewa;,8L,,,
Podocarpus Totara,Totara,10L,,,
Sophora Tetraptera,Kowhai,10L,,,
